-2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
-8.038134367635554334e-01,9.980932816182221945e-01,2.467302239460592794e+00
3.774479083838280236e-01,1.032112042095517435e+00,1.961196508549142070e+00
1.539551488164427218e+00,1.104767189414615380e+00,1.485069999379485584e+00
2.677153301092485727e+00,1.218727460272329033e+00,1.042780455221300695e+00
3.783536715307008080e+00,1.376406079398242444e+00,6.386537261959092104e-01
4.850343766546464153e+00,1.579619177881101733e+00,2.774134248021836169e-01
5.867361969116139164e+00,1.829074885308784149e+00,-3.600816110229287936e-02
6.822489504306583186e+00,2.123673079518154871e+00,-2.968436244039510674e-01
7.702076402645983144e+00,2.459665141936962840e+00,-5.011088778776799924e-01
8.491884670407452873e+00,2.829864889381362936e+00,-6.464658985550036929e-01
9.163117787674785575e+00,3.180489209292717501e+00,-6.404071506075224018e-01
9.529894018945388012e+00,3.468001151620028200e+00,4.845096011023009019e-02
9.667629220403611612e+00,3.703782831153984656e+00,-1.455137115687694938e-02
9.574238132457187689e+00,4.654629749762820623e+00,4.270962627210631024e-01
9.630193957424765472e+00,5.476762944678864820e+00,6.840349678409396450e-01
9.744333305919186117e+00,6.150944207967052435e+00,8.431645544622425881e-01
1.009108957126785633e+01,6.703764880682824057e+00,1.105435647969280621e+00
9.898328108683630333e+00,6.948115332214389817e+00,9.309900191346452969e-01
